Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column,Lemmatized_Column,Final_cleaned
AM,Email,United States,Deskside,Outlook- Issues,Y,27-09-2022,Incident,                                   outlook issues,                                    outlook issue,outlook issue
AP,M365,India,Deskside,Application Issues,Y,29-09-2022,Incident,                                application issues,                                 application issue,application issue
AM,,Argentina,Deskside,App - AutoCAD -  Admin Rights,Y,18-10-2022,Incident,                     app  autocad   admin rights,                      app   autocad    admin right,app autocad admin
AM,,United States,Deskside,JLL  Excel non response application issue,Y,13-10-2022,Incident,         jll  excel non response application issue,          jll   excel non response application issue,jll excel non response application issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-10-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,,United States,Deskside,JLL Excel Macros issue on files,Y,29-09-2022,Incident,                   jll excel macros issue on files,                    jll excel macros issue on file,jll excel macros issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop is crashing ,Y,03-10-2022,Incident,              hardware issue  laptop is crashing ,               hardware issue   laptop be crash,hardware issue laptop
AM,M365,United States,Deskside,JLL teams Camera issues,Y,26-09-2022,Incident,                           jll teams camera issues,                            jll team camera issue,jll team camera issue
AM,Email,United States,Deskside,JLL outlook application and OST error ,Y,11-10-2022,Incident,            jll outlook application and ost error ,             jll outlook application and ost error,jll outlook application ost error
AM,Hardware,United States,Deskside,JLL Hardware Issue - Docking Station issues,Y,27-09-2022,Incident,       jll hardware issue  docking station issues,        jll hardware issue   docking station issue,jll hardware issue station issue
AM,Hardware,United States,Deskside,JLL Hardware Issue - Docking Station issues,Y,26-09-2022,Incident,       jll hardware issue  docking station issues,        jll hardware issue   docking station issue,jll hardware issue station issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,27-09-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,,United States,Deskside,Application Issue - Adobe Acrobat or Nitro PDF,Y,28-09-2022,Incident,    application issue  adobe acrobat or nitro pdf,     application issue   adobe acrobat or nitro pdf,application issue adobe acrobat nitro pdf
AM,Printer,United States,Deskside,Software ( Fiery Printer Driver Updater Module) -  Admin rights required,Y,27-09-2022,Incident,software  fiery printer driver updater module,software   fiery printer driver updater module,fiery printer driver updater module
AM,Laptop,United States,Deskside,Jon Harris-Hardware Issue - Laptop,Y,26-09-2022,Incident,                jon harrishardware issue  laptop,                 jon harrishardware issue   laptop,jon harrishardware issue laptop
AM,Printer,United States,Deskside,Hardware Issue - Printer,Y,26-09-2022,Incident,                          hardware issue  printer,                           hardware issue   printer,hardware issue printer
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Headphone jack issues,Y,28-09-2022,Incident, jll hardware issue  laptop headphone jack issues,  jll hardware issue   laptop headphone jack issue,jll hardware issue laptop headphone jack issue
AM,,United States,Deskside,Computers not receiving management updates,Y,06-10-2022,Incident,        computers not receiving management updates,         computer not receive management update,management update
AM,Laptop,United States,Deskside,Top Sen-HARD DOWN - Laptop Not starting,Y,23-09-2022,Incident,           top senhard down  laptop not starting,            top senhard down   laptop not start,top senhard
AM,,United States,Deskside,Static IP address change multiple times during the day (user needs admin rights) please review,Y,29-11-2022,Incident,static ip address change multiple times during ,static ip address change multiple time during,static ip address multiple time
AM,Hardware,United States,Deskside,JLL Hardware Issue - Monitor setup issue,Y,26-09-2022,Incident,          jll hardware issue  monitor setup issue,           jll hardware issue   monitor setup issue,jll hardware issue monitor setup issue
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Install battery replacement,Y,27-09-2022,Incident,jll hardware issue  laptop install battery rep,jll hardware issue   laptop install battery rep,jll hardware issue laptop install battery rep
AM,M365,United States,Deskside,JLL Teams Application Performance  issue,Y,05-10-2022,Incident,          jll teams application performance  issue,           jll team application performance   issue,jll team application performance issue
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,27-09-2022,Incident,                           hardware issue  laptop,                            hardware issue   laptop,hardware issue laptop
AM,Printer,United States,Deskside,JLL Hardware Issue - Printer Portal unable to print issue,Y,04-10-2022,Incident,jll hardware issue  printer portal unable to p,jll hardware issue   printer portal unable to p,jll hardware issue printer portal
AM,M365,United States,Deskside,MS Teams - Audio Issues ,Y,11-10-2022,Incident,                          ms teams  audio issues ,                           ms team   audio issue,ms team audio issue
AM,Laptop,United States,Deskside,Laptop - Access Issues (Unable to enter MFA factor at VPN for synchronization of new credentials) ,Y,11-10-2022,Incident,laptop  access issues unable to enter mfa fac,laptop   access issue unable to enter mfa fac,laptop access issue mfa fac
AM,Email,United States,Deskside,Ryan Burrows - Hardware Issue - Laptop Performance - Outlook view needs to be addressed also.,Y,19-01-2023,Incident,ryan burrows  hardware issue  laptop performa,ryan burrow   hardware issue   laptop performa,ryan burrow hardware issue laptop performa
AM,Active Directory,United States,Deskside,Micosoft azure - pop-up issue,Y,23-09-2022,Incident,                     micosoft azure  popup issue,                      micosoft azure   popup issue,micosoft azure popup issue
